date,mktrf,rf,mktret
2023-08-24,-0.0142,0.0002,-0.014
2023-08-25,0.0065,0.0002,0.006699999999999999
2023-08-28,0.0063,0.0002,0.0065
2023-08-29,0.015,0.0002,0.0152
2023-08-30,0.0041,0.0002,0.0043
2023-08-31,-0.0008,0.0002,-0.0006000000000000001
2023-09-01,0.0026,0.0002,0.0028
2023-09-05,-0.0054,0.0002,-0.005200000000000001
2023-09-06,-0.0071,0.0002,-0.006900000000000001
2023-09-07,-0.004,0.0002,-0.0038
2023-09-08,0.0012,0.0002,0.0014
2023-09-11,0.0066,0.0002,0.0068
2023-09-12,-0.0059,0.0002,-0.0057
2023-09-13,0.0003,0.0002,0.0005
2023-09-14,0.0083,0.0002,0.0085
2023-09-15,-0.0121,0.0002,-0.011899999999999999
2023-09-18,-0.0004,0.0002,-0.0002
2023-09-19,-0.0026,0.0002,-0.0024
2023-09-20,-0.0095,0.0002,-0.0093
2023-09-21,-0.0168,0.0002,-0.0166
2023-09-22,-0.0025,0.0002,-0.0023
2023-09-25,0.0039,0.0002,0.0040999999999999995
2023-09-26,-0.0146,0.0002,-0.0144
2023-09-27,0.0013,0.0002,0.0015
2023-09-28,0.0065,0.0002,0.006699999999999999
2023-09-29,-0.0027,0.0002,-0.0025
2023-10-02,-0.0014,0.0002,-0.0012
2023-10-03,-0.0149,0.0002,-0.0147
2023-10-04,0.0077,0.0002,0.0079
2023-10-05,-0.0015,0.0002,-0.0013
2023-10-06,0.0121,0.0002,0.0123
2023-10-09,0.0059,0.0002,0.0060999999999999995
2023-10-10,0.006,0.0002,0.0062
2023-10-11,0.0033,0.0002,0.0035
2023-10-12,-0.0081,0.0002,-0.007899999999999999
2023-10-13,-0.0059,0.0002,-0.0057
2023-10-16,0.0113,0.0002,0.0115
2023-10-17,0.0009,0.0002,0.0011
2023-10-18,-0.0146,0.0002,-0.0144
2023-10-19,-0.0092,0.0002,-0.009
2023-10-20,-0.0132,0.0002,-0.013
