state,company_raw,notice_date,n_employees,city,layoff_type,source
CA,Skinny Labs Inc. dba SPIN,2022-09-29,49.0,,Layoff Permanent,ca_2022_23.pdf
CA,Airgas,2022-09-30,28.0,,Closure Permanent,ca_2022_23.pdf
CA,"Alforex Seeds, LLC wholly owned subsidiary of Corteva,
Inc.",2022-09-30,7.0,,Layoff Permanent,ca_2022_23.pdf
CA,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",2022-09-30,26.0,,Layoff Permanent,ca_2022_23.pdf
CA,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",2022-09-30,58.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Demetrix, Inc.",2022-09-30,4.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Buca Restaurants 2, Inc. dba Buca di Beppo Italian
Restaurant",2022-10-03,44.0,,Closure Permanent,ca_2022_23.pdf
CA,"TAP Manufacturing LLC and TAP Worldwide LLC dba 4
Wheel Parts",2022-10-05,293.0,,Layoff Permanent,ca_2022_23.pdf
CA,BioMarin Pharmaceutical Inc.,2022-10-06,62.0,,Layoff Permanent,ca_2022_23.pdf
CA,BioMarin Pharmaceutical Inc.,2022-10-06,32.0,,Layoff Permanent,ca_2022_23.pdf
CA,King's Fish House,2022-10-06,94.0,,Closure Temporary,ca_2022_23.pdf
CA,The Honest Kitchen,2022-10-07,6.0,,Closure Permanent,ca_2022_23.pdf
CA,"Grocery Delivery E-Services USA, Inc. dba HelloFresh",2022-10-10,611.0,,Closure Permanent,ca_2022_23.pdf
CA,"Acuity Brands Lighting, Inc. dba Sunoptics",2022-10-10,98.0,,Closure Permanent,ca_2022_23.pdf
CA,Clear Capital,2022-10-11,108.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Keeco, LLC",2022-10-11,168.0,,Closure Permanent,ca_2022_23.pdf
CA,"Colonial Savings, F.A.",2022-10-14,27.0,,Closure Permanent,ca_2022_23.pdf
CA,"Colonial Savings, F.A.",2022-10-14,27.0,,Closure Permanent,ca_2022_23.pdf
CA,Egomotion Corp. dba Zeus Living,2022-10-17,31.0,,Layoff Permanent,ca_2022_23.pdf
CA,CS DPS Holdings G4 Facility,2022-10-17,103.0,,Closure Permanent,ca_2022_23.pdf
CA,"Astreya Partners, LLC at Meta Platforms Inc. facility",2022-10-18,144.0,,Layoff Permanent,ca_2022_23.pdf
CA,Zymergen Inc.,2022-10-18,110.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Starry, Inc.",2022-10-20,56.0,,Layoff Permanent,ca_2022_23.pdf
CA,Jabil Inc.,2022-10-20,73.0,,Closure Temporary,ca_2022_23.pdf
CA,Jabil Inc.,2022-10-20,484.0,,Closure Temporary,ca_2022_23.pdf
CA,Ademco Inc.,2022-10-20,127.0,,Layoff Temporary,ca_2022_23.pdf
CA,Jabil Inc.,2022-10-21,83.0,,Closure Temporary,ca_2022_23.pdf
CA,UTC Restaurant Ventures LLC dba Great Maple,2022-10-23,61.0,,Closure Permanent,ca_2022_23.pdf
CA,"Jabil, Inc.",2022-10-24,549.0,,Closure Temporary,ca_2022_23.pdf
CA,"Jabil, Inc.",2022-10-24,123.0,,Closure Temporary,ca_2022_23.pdf
CA,Zekelman Industries dba Western Tube,2022-10-24,170.0,,Closure Permanent,ca_2022_23.pdf
CA,"Avanir Pharmaceuticals, Inc.",2022-10-24,109.0,,Layoff Permanent,ca_2022_23.pdf
CA,Jabil Inc.,2022-10-24,51.0,,Closure Temporary,ca_2022_23.pdf
CA,FormFactor,2022-10-25,52.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-10-25,20.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-10-25,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Roth Staffing Companies, L.P. dba Ultimate Staffing
Services at FormFactor, Inc.",2022-10-25,164.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-10-25,12.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-10-25,27.0,,Layoff Permanent,ca_2022_23.pdf
CA,Pennymac,2022-10-25,10.0,,Layoff Permanent,ca_2022_23.pdf
CA,Terre du Soleil dba Auberge du Soleil,2022-10-25,206.0,,Closure Temporary,ca_2022_23.pdf
CA,Pennymac,2022-10-25,10.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Mindbody, Inc.",2022-10-26,94.0,,Layoff Permanent,ca_2022_23.pdf
CA,Wes Lasher Inc. dba Elk Grove Acura,2022-10-26,59.0,,Closure Permanent,ca_2022_23.pdf
CA,Elk Grove Auto Group Inc. dba Elk Grove Subaru,2022-10-26,61.0,,Closure Permanent,ca_2022_23.pdf
CA,Elk Grove Auto Group Inc. dba Elk Grove Dodge,2022-10-26,229.0,,Closure Permanent,ca_2022_23.pdf
CA,Elk Grove Auto Group Inc. dba Elk Grove Volkswagen,2022-10-26,32.0,,Closure Permanent,ca_2022_23.pdf
CA,Elk Grove Auto Group Inc. dba Elk Grove Audi,2022-10-26,33.0,,Closure Permanent,ca_2022_23.pdf
CA,Finance of America,2022-10-26,48.0,,Closure Permanent,ca_2022_23.pdf
CA,Scotts Temecula Operations LLC,2022-10-27,15.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Great America Trans, Inc.",2022-10-27,9.0,,Closure Permanent,ca_2022_23.pdf
CA,Selman Breitman LLP,2022-10-28,81.0,,Closure Permanent,ca_2022_23.pdf
CA,"Lucira Health, Inc.",2022-10-28,41.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Lucira Health, Inc.",2022-10-28,4.0,,Layoff Permanent,ca_2022_23.pdf
CA,American Advisors Group,2022-10-28,204.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Lucira Health, Inc.",2022-10-28,5.0,,Layoff Permanent,ca_2022_23.pdf
