state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,"David's Bridal, Store # 216, Eugene",2023-04-14,1.0,Eugene,,Permanent closure,warn_or.json
OR,"David's Bridal, Store # 160, Beaverton",2023-04-14,1.0,Beaverton,,Permanent closure,warn_or.json
OR,"David's Bridal, Store # 200, Clackamas",2023-04-14,1.0,Happy Valley,,Permanent closure,warn_or.json
OR,"David's Bridal, Store # 292 Salem",2023-04-14,1.0,Keizer,,Permanent closure,warn_or.json
OR,"David's Bridal, Store # 263 Medford",2023-04-14,1.0,Medford,,Permanent closure,warn_or.json
CA,"Aspiration Partners, Inc",2023-03-24,12.0,Marina Del Rey,,Large Layoff - 10 or more workers,warn_or.json
OR,Client Facility,2023-03-13,150.0,Beaverton,,Permanent closure,warn_or.json
OR,Blount Fine Foods,2023-03-13,198.0,Portland,,Permanent closure,warn_or.json
OR,Walmart Store #2552,2023-02-22,379.0,Portland,,Permanent closure,warn_or.json
OR,Walmart Store #5899,2023-02-22,201.0,Portland,,Permanent closure,warn_or.json
OR,Railcar Manufacturing Operations,2023-01-20,101.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
CA,Specialized Bicycle Components,2023-01-11,7.0,Morgan Hill,,Reduction,warn_or.json
FL,BayFirst Financial,2022-09-23,58.0,St. Petersburg,,Large Layoff - 10 or more workers,warn_or.json
OR,"Laird Superfood, Inc",2022-10-12,46.0,Sisters,,Large Layoff - 10 or more workers,warn_or.json
OR,"Beauty Systems Group, LLC, DBA CosmoPro",2022-10-11,60.0,Clackamas,,Large Layoff - 10 or more workers,warn_or.json
OR,"Tegra, DBA Latitudes LLC",2022-09-08,48.0,Portland,,Permanent closure,warn_or.json
OR,DENNIS Uniform,2022-08-30,71.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,"Columbia Steel Casting Co., Inc.",2022-08-22,225.0,Portland,,Permanent closure,warn_or.json
OR,RR Donnelley,2022-07-13,97.0,Medford,,Permanent closure,warn_or.json
TX,Center for Autism and Related Disorders,2022-06-29,156.0,Plano,,Permanent closure,warn_or.json
OR,"Dr. Martens Airway USA, LLC - Anchor Pa",2022-05-18,31.0,Portland,,Permanent closure,warn_or.json
OR,"Dr. Martens Airway USA, LLC - Anchor Pa",2022-05-18,40.0,Portland,,Permanent closure,warn_or.json
CA,"ARS-Fresno, LLC.",2022-03-30,163.0,Carlsbad,,Large Layoff - 10 or more workers,warn_or.json
OR,Peloton,2022-02-08,54.0,Portland,,Permanent closure,warn_or.json
OR,Boyd Corporation,2022-01-17,40.0,Portland,,Permanent closure,warn_or.json
OR,GP Downs LLC dba The Flying Lark,2022-01-07,226.0,Grants Pass,,Permanent closure,warn_or.json
OR,GP Downs LLC dba The Flying Lark,2022-01-07,43.0,Grants Pass,,Permanent closure,warn_or.json
OR,Hematology Oncology Associates PC,2021-10-22,95.0,Medford,,Permanent closure,warn_or.json
OR,Eclipse Senior Living Support Center,2021-10-01,171.0,Lake Oswego,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,10.0,Portland,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,16.0,Portland,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,5.0,Portland,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,6.0,Portland,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,12.0,Portland,,Permanent closure,warn_or.json
OR,Sulzer,2021-09-10,14.0,Portland,,Permanent closure,warn_or.json
OR,4 Leaf LLC,2021-09-17,63.0,Portland,,Permanent closure,warn_or.json
OR,Lifeways - Umatilla County,2021-08-13,100.0,Pendleton,,Permanent closure,warn_or.json
OR,First Transit - Portland,2021-07-30,170.0,Portland,,Permanent closure,warn_or.json
OR,First Transit - Beaverton,2021-07-30,99.0,Beaverton,,Permanent closure,warn_or.json
OR,First Transit - Multnomah,2021-07-30,127.0,Portland,,Permanent closure,warn_or.json
TN,Aramark,2021-07-22,402.0,Nashville,,Permanent closure,warn_or.json
